id,Type,Source,Amount,Fee,Destination Platform Fee,Destination Platform Fee Currency,Net,Currency,Created (UTC),Available On (UTC),Description,Customer Facing Amount,Customer Facing Currency,Transfer,Transfer Date (UTC),Transfer Group
txn_1SynApGxzrUh3F1NVvRix0eT,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2026-02-09 05:38,2026-02-09 05:38,Billing - Usage Fee (2026-02-08),,,,,
txn_3SyRDeGxzrUh3F1N1NG4j31J,charge,ch_3SyRDeGxzrUh3F1N1rYJmUyO,3.99,0.41,,,3.58,nzd,2026-02-08 06:11,2026-02-13 00:00,Subscription update,3.99,nzd,,,
txn_1Sy3qMGxzrUh3F1Ncgu19Cqm,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2026-02-07 05:14,2026-02-07 05:14,Billing - Usage Fee (2026-02-06),,,,,
txn_3Sxo5CGxzrUh3F1N078tAK8L,payment,py_3Sxo5CGxzrUh3F1N0d0oIa2r,3.99,0.47,,,3.52,nzd,2026-02-06 12:24,2026-02-13 00:00,Subscription creation,3.99,nzd,,,
txn_1Swc5vGxzrUh3F1NtgpxaGx3,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2026-02-03 05:24,2026-02-03 05:24,Billing - Usage Fee (2026-02-02),,,,,
txn_1SwFjGGxzrUh3F1NuRk4cRFe,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2026-02-02 05:31,2026-02-02 05:31,Billing - Usage Fee (2026-02-01),,,,,
txn_3SvbAaGxzrUh3F1N0zQnX1Ea,payment,py_3SvbAaGxzrUh3F1N0PV4PC6h,3.99,0.47,,,3.52,nzd,2026-02-02 04:12,2026-02-09 00:00,Subscription update,3.99,nzd,,,
txn_1SwC7lGxzrUh3F1N1JyI3fGE,payment_refund,py_3Sv7MjGxzrUh3F1N0Ppj4Vfe,-3.99,0.00,,,-3.99,nzd,2026-02-02 01:40,2026-02-05 00:00,REFUND FOR PAYMENT (Subscription update),-3.99,nzd,,,
txn_3Svwt8GxzrUh3F1N0STQt9QS,charge,ch_3Svwt8GxzrUh3F1N09a3psbO,3.99,0.41,,,3.58,nzd,2026-02-01 09:24,2026-02-09 00:00,Subscription creation,3.99,nzd,,,
txn_1SvsYTGxzrUh3F1Nt5e5E3ZD,stripe_fee,,-0.08,0.01,,,-0.09,nzd,2026-02-01 04:46,2026-02-01 04:46,Billing - Usage Fee (2026-01-31),,,,,
txn_3SvbGcGxzrUh3F1N1bFhCwoh,charge,ch_3SvbGcGxzrUh3F1N1jijap5L,3.99,0.41,,,3.58,nzd,2026-01-31 10:19,2026-02-09 00:00,Subscription update,3.99,nzd,,,
txn_3SvbESGxzrUh3F1N1oT1CTzE,payment,py_3SvbESGxzrUh3F1N1Mpg9WUd,3.99,0.47,,,3.52,nzd,2026-01-31 10:16,2026-02-09 00:00,Subscription update,3.99,nzd,,,
txn_3SvbDMGxzrUh3F1N1tJGQS7D,payment,py_3SvbDMGxzrUh3F1N15NgDu4R,3.99,0.47,,,3.52,nzd,2026-01-31 10:15,2026-02-09 00:00,Subscription update,3.99,nzd,,,
txn_1SvWHbGxzrUh3F1NVQzYp6EI,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2026-01-31 04:59,2026-01-31 04:59,Billing - Usage Fee (2026-01-30),,,,,
txn_3Sv7MjGxzrUh3F1N0kVHPZYw,payment,py_3Sv7MjGxzrUh3F1N0Ppj4Vfe,3.99,0.47,,,3.52,nzd,2026-01-30 02:23,2026-02-05 00:00,Subscription update,3.99,nzd,,,
txn_1SthaPGxzrUh3F1NaWABxQUx,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2026-01-26 04:39,2026-01-26 04:39,Billing - Usage Fee (2026-01-25),,,,,
txn_3StagQGxzrUh3F1N0i9sSqv3,charge,ch_3StagQGxzrUh3F1N08A5co97,3.99,0.41,,,3.58,nzd,2026-01-25 21:17,2026-01-30 00:00,Subscription update,3.99,nzd,,,
txn_1SqoLxGxzrUh3F1NwZmIVEbh,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2026-01-18 05:16,2026-01-18 05:16,Billing - Usage Fee (2026-01-17),,,,,
txn_3SqRIrGxzrUh3F1N1Oajc0lh,payment,py_3SqRIrGxzrUh3F1N10mMuroJ,3.99,0.41,,,3.58,nzd,2026-01-17 04:40,2026-01-23 00:00,Subscription update,3.99,nzd,,,
txn_1SnY5aGxzrUh3F1NHjMPmM3g,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2026-01-09 05:18,2026-01-09 05:18,Billing - Usage Fee (2026-01-08),,,,,
txn_3SnCR3GxzrUh3F1N1r1QEe35,charge,ch_3SnCR3GxzrUh3F1N1DAqukO2,3.99,0.41,,,3.58,nzd,2026-01-08 06:11,2026-01-14 00:00,Subscription update,3.99,nzd,,,
txn_1SkGxBGxzrUh3F1N8Dq8RQqt,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-12-31 04:24,2025-12-31 04:24,Billing - Usage Fee (2025-12-30),,,,,
txn_3SjrYgGxzrUh3F1N0qYY3UpW,payment,py_3SjrYgGxzrUh3F1N00GrSWo6,3.99,0.41,,,3.58,nzd,2025-12-30 01:17,2026-01-07 00:00,Subscription creation,3.99,nzd,,,
txn_1SiSOrGxzrUh3F1NbQRo2LF6,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-12-26 04:13,2025-12-26 04:13,Billing - Usage Fee (2025-12-25),,,,,
txn_3SiKuHGxzrUh3F1N1nIuKn6f,charge,ch_3SiKuHGxzrUh3F1N1kI5WusL,3.99,0.41,,,3.58,nzd,2025-12-25 20:13,2026-01-06 00:00,Subscription creation,3.99,nzd,,,
txn_1SfaeCGxzrUh3F1N5yKlIKrl,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-12-18 06:25,2025-12-18 06:25,Billing - Usage Fee (2025-12-17),,,,,
txn_3SfBaDGxzrUh3F1N0LXI1lkK,payment,py_3SfBaDGxzrUh3F1N0XqciqFD,3.99,0.41,,,3.58,nzd,2025-12-17 03:39,2025-12-23 00:00,Subscription creation,3.99,nzd,,,
txn_1Set4oGxzrUh3F1NTN6S40FE,payout,po_1Set4oGxzrUh3F1NraFmbT9K,-93.57,0.00,,,-93.57,nzd,2025-12-16 07:53,2025-12-16 07:53,"",,,,,
txn_1ScKBLGxzrUh3F1NIntGSX01,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-12-09 06:13,2025-12-09 06:13,Billing - Usage Fee (2025-12-08),,,,,
